ts,equity,cash,positions_value,unrealized_pnl
2025-10-26T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-27T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-27T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-27T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-27T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-27T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-27T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-28T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-28T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-28T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-28T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-28T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-28T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-29T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-29T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-29T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-29T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-29T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-29T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-30T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-30T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-30T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-30T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-30T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-30T20:00:00,1000000.0,1000000,0.0,0.0
2025-10-31T00:00:00,1000000.0,1000000,0.0,0.0
2025-10-31T04:00:00,1000000.0,1000000,0.0,0.0
2025-10-31T08:00:00,1000000.0,1000000,0.0,0.0
2025-10-31T12:00:00,1000000.0,1000000,0.0,0.0
2025-10-31T16:00:00,1000000.0,1000000,0.0,0.0
2025-10-31T20:00:00,1000000.0,1000000,0.0,0.0
2025-11-01T00:00:00,1000000.0,1000000,0.0,0.0
2025-11-01T04:00:00,1000000.0,1000000,0.0,0.0
2025-11-01T08:00:00,1000000.0,1000000,0.0,0.0
2025-11-01T12:00:00,1000000.0,1000000,0.0,0.0
2025-11-01T16:00:00,1000000.0,1000000,0.0,0.0
2025-11-01T20:00:00,1000000.0,1000000,0.0,0.0
2025-11-02T00:00:00,1000000.0,1000000,0.0,0.0
2025-11-02T04:00:00,1000000.0,1000000,0.0,0.0
2025-11-02T08:00:00,1000000.0,1000000,0.0,0.0
2025-11-02T12:00:00,1000000.0,1000000,0.0,0.0
2025-11-02T16:00:00,1000000.0,1000000,0.0,0.0
2025-11-02T20:00:00,1000000.0,1000000,0.0,0.0
2025-11-03T00:00:00,1000000.0,1000000,0.0,0.0
2025-11-03T04:00:00,1000000.0,1000000,0.0,0.0
2025-11-03T08:00:00,1000000.0,1000000,0.0,0.0
2025-11-03T12:00:00,1000000.0,1000000,0.0,0.0
2025-11-03T16:00:00,1000000.0,1000000,0.0,0.0
2025-11-03T20:00:00,1000000.0,1000000,0.0,0.0
2025-11-04T00:00:00,1000000.0,1000000,0.0,0.0
2025-11-04T04:00:00,1000000.0,1000000,0.0,0.0
2025-11-04T08:00:00,1000000.0,1000000,0.0,0.0
2025-11-04T12:00:00,1000000.0,1000000,0.0,0.0
2025-11-04T16:00:00,1000000.0,1000000,0.0,0.0
2025-11-04T20:00:00,1000000.0,1000000,0.0,0.0
2025-11-05T00:00:00,1000000.0,1000000,0.0,0.0
2025-11-05T04:00:00,1000000.0,1000000,0.0,0.0
2025-11-05T08:00:00,1000000.0,1000000,0.0,0.0
2025-11-05T12:00:00,1000000.0,1000000,0.0,0.0
2025-11-05T16:00:00,1000000.0,1000000,0.0,0.0
2025-11-05T20:00:00,1000000.0,1000000,0.0,0.0
2025-11-06T00:00:00,1000000.0,1000000,0.0,0.0
2025-11-06T04:00:00,1000000.0,1000000,0.0,0.0
2025-11-06T08:00:00,1000000.0,1000000,0.0,0.0
2025-11-06T12:00:00,1000000.0,1000000,0.0,0.0
2025-11-06T16:00:00,1000000.0,1000000,0.0,0.0
2025-11-06T20:00:00,1000000.0,1000000,0.0,0.0
2025-11-07T00:00:00,1000000.0,1000000,0.0,0.0
2025-11-07T04:00:00,1000000.0,1000000,0.0,0.0
2025-11-07T08:00:00,1000000.0,1000000,0.0,0.0
2025-11-07T12:00:00,1000000.0,1000000,0.0,0.0
2025-11-07T16:00:00,1000000.0,1000000,0.0,0.0
2025-11-07T20:00:00,1000000.0,1000000,0.0,0.0
2025-11-08T00:00:00,1000000.0,1000000,0.0,0.0
2025-11-08T04:00:00,1000000.0,1000000,0.0,0.0
2025-11-08T08:00:00,1000000.0,1000000,0.0,0.0
2025-11-08T12:00:00,1000000.0,1000000,0.0,0.0
2025-11-08T16:00:00,1000000.0,1000000,0.0,0.0
2025-11-08T20:00:00,1000000.0,1000000,0.0,0.0
2025-11-09T00:00:00,1000000.0,1000000,0.0,0.0
2025-11-09T04:00:00,1000000.0,1000000,0.0,0.0
2025-11-09T08:00:00,1000000.0,1000000,0.0,0.0
2025-11-09T12:00:00,1000000.0,1000000,0.0,0.0
